clip	bytes	seconds	distinct-frames	last-frame-ink
x11/after/transcript-blanking.mp4	393495	10.07	38	9139.4
x11/band-after/blank-band.mp4	44538	3.47	10	7659.9
x11/before/card-bands.mp4	521093	31.72	115	2206.8
x11/before/context-gauge.mp4	242366	15.40	135	2418.7
x11/before/overlay-fold.mp4	302651	10.27	68	1724.6
x11/before/overlay-motion.mp4	960326	46.42	95	7554.3
x11/before/pane-bands.mp4	2200248	95.30	676	3139.7
x11/before/popup-grow.mp4	284637	12.55	48	1798.0
x11/before/sidebar-crossfade.mp4	370595	18.18	69	1711.5
x11/before/subagent-lanes.mp4	572887	24.12	98	1713.0
x11/before/transcript-blanking.mp4	102473	5.37	21	9174.8
x11/card-bands.mp4	596829	30.40	189	1913.5
x11/commits/00f724b60-after.mp4	61271	1.53	3	5051.5
x11/commits/030960d65-after.mp4	1930984	56.67	297	11244.5
x11/commits/030960d65-before.mp4	1915166	55.47	281	11223.8
x11/commits/05bd9d643-after.mp4	97573	1.73	8	10745.0
x11/commits/05bd9d643-before.mp4	102155	1.53	10	11066.2
x11/commits/07372af28-after.mp4	85406	1.33	3	10107.0
x11/commits/07372af28-before.mp4	64365	1.33	2	9371.6
x11/commits/08ade60cb-after.mp4	73676	1.33	3	9333.1
x11/commits/08ade60cb-before.mp4	78195	1.33	2	9605.5
x11/commits/08ec85de5-after.mp4	34758	1.33	3	5735.9
x11/commits/08ec85de5-before.mp4	34856	1.33	3	5732.2
x11/commits/0ab477850-after.mp4	93966	1.53	10	10499.6
x11/commits/0ab477850-before.mp4	91380	1.73	5	10264.2
x11/commits/0c36cf201-after.mp4	86999	1.53	4	10086.0
x11/commits/0c36cf201-before.mp4	87038	1.53	4	10085.7
x11/commits/10b6c2dfb-after.mp4	97739	1.73	4	10833.0
x11/commits/10b6c2dfb-before.mp4	24631	1.33	2	5225.1
x11/commits/161922a84-after.mp4	136172	1.53	10	12543.9
x11/commits/161922a84-before.mp4	67980	1.73	7	8927.5
x11/commits/1f2ea74b3-after.mp4	68722	1.33	4	9108.2
x11/commits/1f2ea74b3-before.mp4	74941	1.53	3	9462.4
x11/commits/23504cc4d-after.mp4	109483	1.73	8	11431.4
x11/commits/23504cc4d-before.mp4	78456	1.53	4	9629.7
x11/commits/23be42251-after.mp4	1871849	50.87	196	11223.5
x11/commits/23be42251-before.mp4	1931179	55.40	304	11224.7
